,eval_subj,num_regions,train_dataset,train_ses,train_type,cerebellum,cortex,method,logalpha,R_train,rmse_train,R_cv,rmse_cv,eval_dataset,eval_ses,parcellation,crossed,splitby,type,cv_fold,R_eval,R2_eval,noise_Y_R,noise_Y_R2,noise_X_R,noise_X_R2,noiseceiling_Y,noiseceiling_XY,R_eval_adj,model
0,sub-02,1876,MDTB,all,CondHalf,SUIT3,fs32k,L2regression,0.0,0.9988128088084346,0.0029094388974033,0.0707472804880587,0.1012119997718407,MDTB,all,Icosahedron1002,half,,CondHalf,,0.2237178012252981,0.0499412907926091,0.1572140787197884,-0.6855718425604234,0.4055252347696398,-0.1889495304607205,0.3965023060712111,0.2524960914191244,0.8860248092076146,
1,sub-02,1876,MDTB,all,CondHalf,SUIT3,fs32k,L2regression,2.0,0.9984832936421074,0.004097293959198,0.0702988335980596,0.1003391821170579,MDTB,all,Icosahedron1002,half,,CondHalf,,0.2271271057905733,0.0512285824876437,0.1572140787197884,-0.6855718425604234,0.4093907698123218,-0.1812184603753559,0.3965023060712111,0.25369665490981375,0.8952704002790828,
2,sub-02,1876,MDTB,all,CondHalf,SUIT3,fs32k,L2regression,4.0,0.988729302423824,0.0140505958251208,0.0729890493485767,0.0965545728306812,MDTB,all,Icosahedron1002,half,,CondHalf,,0.2413753414270167,0.0550186907844023,0.1572140787197884,-0.6855718425604234,0.4289752484997511,-0.142049503000498,0.3965023060712111,0.2596939515785469,0.9294607747304828,
3,sub-02,1876,MDTB,all,CondHalf,SUIT3,fs32k,L2regression,6.0,0.9026897132613678,0.0377142629206676,0.0891796067197205,0.0892685037011999,MDTB,all,Icosahedron1002,half,,CondHalf,,0.2543375435724747,0.051635034108474,0.1572140787197884,-0.6855718425604234,0.4647292062528309,-0.0705415874943384,0.3965023060712111,0.2702997854516672,0.940946154091392,
4,sub-02,1876,MDTB,all,CondHalf,SUIT3,fs32k,L2regression,8.0,0.6927436402122323,0.0579073286520426,0.119268104748719,0.0828677241353306,MDTB,all,Icosahedron1002,half,,CondHalf,,0.2268464912197972,0.0360215651562163,0.1572140787197884,-0.6855718425604234,0.4548681483709719,-0.090263703258056,0.3965023060712111,0.26741667278821335,0.8482885111634508,
5,sub-02,1876,MDTB,all,CondHalf,SUIT3,fs32k,L2regression,10.0,0.5051855948182699,0.067854551979447,0.1390233040804501,0.0796938129162401,MDTB,all,Icosahedron1002,half,,CondHalf,,0.184750050138596,0.0179722699731763,0.1572140787197884,-0.6855718425604234,0.4238296156799705,-0.152340768640059,0.3965023060712111,0.25813171553160325,0.7157200724371157,
6,sub-02,1876,MDTB,all,CondHalf,SUIT3,fs32k,L2regression,12.0,0.4237145566063756,0.072350023475212,0.1402943156919079,0.079743176227789,MDTB,all,Icosahedron1002,half,,CondHalf,,0.1615756276479365,0.0048675048901336,0.1572140787197884,-0.6855718425604234,0.4177189535259291,-0.1645620929481417,0.3965023060712111,0.25626412242522956,0.6305042864323686,
7,sub-03,1876,MDTB,all,CondHalf,SUIT3,fs32k,L2regression,0.0,0.9988128088084346,0.0029094388974033,0.0707472804880587,0.1012119997718407,MDTB,all,Icosahedron1002,half,,CondHalf,,0.360861513446635,0.1103004353150213,0.1976834351154391,-0.6046331297691216,0.4083860327751533,-0.1832279344496934,0.4446160535961776,0.28413228224219544,1.270047565869461,
8,sub-03,1876,MDTB,all,CondHalf,SUIT3,fs32k,L2regression,2.0,0.9984832936421074,0.004097293959198,0.0702988335980596,0.1003391821170579,MDTB,all,Icosahedron1002,half,,CondHalf,,0.3632686843622149,0.1098894546540439,0.1976834351154391,-0.6046331297691216,0.4141883097775771,-0.1716233804448457,0.4446160535961776,0.2861436140498142,1.2695327329547677,
9,sub-03,1876,MDTB,all,CondHalf,SUIT3,fs32k,L2regression,4.0,0.988729302423824,0.0140505958251208,0.0729890493485767,0.0965545728306812,MDTB,all,Icosahedron1002,half,,CondHalf,,0.372972440542259,0.1061476347329316,0.1976834351154391,-0.6046331297691216,0.4461087603323331,-0.1077824793353334,0.4446160535961776,0.29696516997383,1.255946751516776,
10,sub-03,1876,MDTB,all,CondHalf,SUIT3,fs32k,L2regression,6.0,0.9026897132613678,0.0377142629206676,0.0891796067197205,0.0892685037011999,MDTB,all,Icosahedron1002,half,,CondHalf,,0.3664456737942541,0.0877266102907319,0.1976834351154391,-0.6046331297691216,0.5282405338232181,0.0564810676464363,0.4446160535961776,0.32314764937004736,1.1339883626218945,
11,sub-03,1876,MDTB,all,CondHalf,SUIT3,fs32k,L2regression,8.0,0.6927436402122323,0.0579073286520426,0.119268104748719,0.0828677241353306,MDTB,all,Icosahedron1002,half,,CondHalf,,0.3043161268741471,0.057473980769893,0.1976834351154391,-0.6046331297691216,0.5518540529448074,0.1037081058896147,0.4446160535961776,0.3302913938759333,0.9213565128144294,
12,sub-03,1876,MDTB,all,CondHalf,SUIT3,fs32k,L2regression,10.0,0.5051855948182699,0.067854551979447,0.1390233040804501,0.0796938129162401,MDTB,all,Icosahedron1002,half,,CondHalf,,0.2417973818715027,0.0285330298337835,0.1976834351154391,-0.6046331297691216,0.5025266916148862,0.0050533832297725,0.4446160535961776,0.31518439465752046,0.7671616551137942,
13,sub-03,1876,MDTB,all,CondHalf,SUIT3,fs32k,L2regression,12.0,0.4237145566063756,0.072350023475212,0.1402943156919079,0.079743176227789,MDTB,all,Icosahedron1002,half,,CondHalf,,0.2104756509828159,0.0078377715505757,0.1976834351154391,-0.6046331297691216,0.4621582192816135,-0.0756835614367728,0.4446160535961776,0.302259862294721,0.6963400611146638,
14,sub-04,1876,MDTB,all,CondHalf,SUIT3,fs32k,L2regression,0.0,0.9988128088084346,0.0029094388974033,0.0707472804880587,0.1012119997718407,MDTB,all,Icosahedron1002,half,,CondHalf,,0.2653749900229959,0.0593033833903086,0.0728895613708208,-0.8542208772583582,0.2910789022082062,-0.4178421955835874,0.2699806685131748,0.1456592376276087,1.8218891870177953,
15,sub-04,1876,MDTB,all,CondHalf,SUIT3,fs32k,L2regression,2.0,0.9984832936421074,0.004097293959198,0.0702988335980596,0.1003391821170579,MDTB,all,Icosahedron1002,half,,CondHalf,,0.2690493934576413,0.0595586438976568,0.0728895613708208,-0.8542208772583582,0.2959765285836661,-0.4080469428326676,0.2699806685131748,0.14687954025160083,1.8317690332960375,
16,sub-04,1876,MDTB,all,CondHalf,SUIT3,fs32k,L2regression,4.0,0.988729302423824,0.0140505958251208,0.0729890493485767,0.0965545728306812,MDTB,all,Icosahedron1002,half,,CondHalf,,0.2837527316998635,0.0589862013211344,0.0728895613708208,-0.8542208772583582,0.3249750821165273,-0.3500498357669457,0.2699806685131748,0.15390676135868803,1.8436664458071625,
17,sub-04,1876,MDTB,all,CondHalf,SUIT3,fs32k,L2regression,6.0,0.9026897132613678,0.0377142629206676,0.0891796067197205,0.0892685037011999,MDTB,all,Icosahedron1002,half,,CondHalf,,0.2830930171833045,0.0484030001679099,0.0728895613708208,-0.8542208772583582,0.4086041226430741,-0.1827917547138517,0.2699806685131748,0.1725774471759353,1.6403824590979337,
18,sub-04,1876,MDTB,all,CondHalf,SUIT3,fs32k,L2regression,8.0,0.6927436402122323,0.0579073286520426,0.119268104748719,0.0828677241353306,MDTB,all,Icosahedron1002,half,,CondHalf,,0.2217329641754258,0.0291635047053471,0.0728895613708208,-0.8542208772583582,0.4626948347466219,-0.0746103305067562,0.2699806685131748,0.18364537444004864,1.2073974901437603,
19,sub-04,1876,MDTB,all,CondHalf,SUIT3,fs32k,L2regression,10.0,0.5051855948182699,0.067854551979447,0.1390233040804501,0.0796938129162401,MDTB,all,Icosahedron1002,half,,CondHalf,,0.164080577438737,0.0133520754754258,0.0728895613708208,-0.8542208772583582,0.4463154634899013,-0.1073690730201974,0.2699806685131748,0.1803655686842516,0.9097111972960695,
20,sub-04,1876,MDTB,all,CondHalf,SUIT3,fs32k,L2regression,12.0,0.4237145566063756,0.072350023475212,0.1402943156919079,0.079743176227789,MDTB,all,Icosahedron1002,half,,CondHalf,,0.1391288733768481,0.0035571033097121,0.0728895613708208,-0.8542208772583582,0.4229559235442922,-0.1540881529114157,0.2699806685131748,0.17558209403676067,0.7923864568315231,
21,sub-06,1876,MDTB,all,CondHalf,SUIT3,fs32k,L2regression,0.0,0.9988128088084346,0.0029094388974033,0.0707472804880587,0.1012119997718407,MDTB,all,Icosahedron1002,half,,CondHalf,,0.311350962422889,0.0922299109455595,0.3280391694448706,-0.3439216611102589,0.4826261190546556,-0.0347477618906886,0.5727470379188971,0.397894799220963,0.7824956823574526,
22,sub-06,1876,MDTB,all,CondHalf,SUIT3,fs32k,L2regression,2.0,0.9984832936421074,0.004097293959198,0.0702988335980596,0.1003391821170579,MDTB,all,Icosahedron1002,half,,CondHalf,,0.3152276517905104,0.0933894659018469,0.3280391694448706,-0.3439216611102589,0.4872578945374166,-0.0254842109251667,0.5727470379188971,0.3997995435584069,0.7884642613266482,
23,sub-06,1876,MDTB,all,CondHalf,SUIT3,fs32k,L2regression,4.0,0.988729302423824,0.0140505958251208,0.0729890493485767,0.0965545728306812,MDTB,all,Icosahedron1002,half,,CondHalf,,0.3321799261618032,0.0968690084452132,0.3280391694448706,-0.3439216611102589,0.5110251452953349,0.0220502905906697,0.5727470379188971,0.4094340780005079,0.8113147976934912,
24,sub-06,1876,MDTB,all,CondHalf,SUIT3,fs32k,L2regression,6.0,0.9026897132613678,0.0377142629206676,0.0891796067197205,0.0892685037011999,MDTB,all,Icosahedron1002,half,,CondHalf,,0.3459464140468263,0.0916874449363871,0.3280391694448706,-0.3439216611102589,0.5535999247742412,0.1071998495484827,0.5727470379188971,0.4261484008273232,0.8117979872157375,
25,sub-06,1876,MDTB,all,CondHalf,SUIT3,fs32k,L2regression,8.0,0.6927436402122323,0.0579073286520426,0.119268104748719,0.0828677241353306,MDTB,all,Icosahedron1002,half,,CondHalf,,0.3249973895805261,0.0717119448202431,0.3280391694448706,-0.3439216611102589,0.5540761537082759,0.1081523074165516,0.5727470379188971,0.42633165642686127,0.7623111835146602,
26,sub-06,1876,MDTB,all,CondHalf,SUIT3,fs32k,L2regression,10.0,0.5051855948182699,0.067854551979447,0.1390233040804501,0.0796938129162401,MDTB,all,Icosahedron1002,half,,CondHalf,,0.2995321962336209,0.0414204187303886,0.3280391694448706,-0.3439216611102589,0.5415613579696344,0.0831227159392689,0.5727470379188971,0.4214894281850912,0.7106517416661883,
