traindata	method	extension	cort_size	cereb_size	name	color_r	color_g	color_b
MdWfDeHtNiSoScLa	NNLS	A0_global	6.567403192558646	2.3643066262257246	01.VisualA	0.46875	0.070312	0.523438
MdWfDeHtNiSoScLa	NNLS	A0_global	5.751375662277041	2.232217730526554	02.VisualB	0.996094	0.0	0.0
MdWfDeHtNiSoScLa	NNLS	A0_global	10.066611015519856	12.776370910652213	03.SomatomotorA	0.273438	0.507812	0.703125
MdWfDeHtNiSoScLa	NNLS	A0_global	8.354486447810014	5.579444050322037	04.SomatomotorB	0.164062	0.796875	0.640625
MdWfDeHtNiSoScLa	NNLS	A0_global	5.9711409052965125	4.688389833728017	05.DorsalAttentionA	0.289062	0.605469	0.234375
MdWfDeHtNiSoScLa	NNLS	A0_global	5.821223530213461	7.155615029605089	06.DorsalAttentionB	0.0	0.460938	0.054688
MdWfDeHtNiSoScLa	NNLS	A0_global	8.366411693555257	5.619667035520432	07.VentralAttentionA	0.765625	0.226562	0.976562
MdWfDeHtNiSoScLa	NNLS	A0_global	5.529906812722533	4.788649307231001	08.VentralAttentionB	0.996094	0.59375	0.832031
MdWfDeHtNiSoScLa	NNLS	A0_global	4.0154006030767135	1.8314171319421368	09.LimbicA	0.859375	0.96875	0.640625
MdWfDeHtNiSoScLa	NNLS	A0_global	3.4429888073050647	11.8806232471853	10.LimbicB	0.476562	0.527344	0.195312
MdWfDeHtNiSoScLa	NNLS	A0_global	2.3407553791376343	1.5731271223169079	11.ControlC	0.464844	0.546875	0.6875
MdWfDeHtNiSoScLa	NNLS	A0_global	5.977955331436651	12.851973679251955	12.ControlA	0.898438	0.578125	0.132812
MdWfDeHtNiSoScLa	NNLS	A0_global	5.899589430825056	8.41087992770299	13.ControlB	0.527344	0.195312	0.289062
MdWfDeHtNiSoScLa	NNLS	A0_global	3.5639448712925264	5.128093338845361	14.TemporalParietal	0.046875	0.1875	0.996094
MdWfDeHtNiSoScLa	NNLS	A0_global	2.400381607863848	0.7332307877955289	15.DefaultC	0.0	0.0	0.507812
MdWfDeHtNiSoScLa	NNLS	A0_global	8.163682515886132	4.473485410948417	16.DefaultA	0.996094	0.996094	0.0
MdWfDeHtNiSoScLa	NNLS	A0_global	7.7667421932230525	7.912508830200352	17.DefaultB	0.800781	0.242188	0.304688
