train_dataset	eval_dataset	eval_subj	R_eval_adj_L2reg	R_eval_adj_NNLS	R_eval_adj_diff
MDTB	Language	sub-01	0.50647226970515	0.5268690819607207	-0.020396812255570662
MDTB	Language	sub-02	0.67005987377189	0.5406251518753413	0.1294347218965487
MDTB	Language	sub-03	0.2282771416534545	0.16196209505186235	0.06631504660159215
MDTB	Language	sub-04	0.7370337442246968	0.7296976837044259	0.007336060520270915
MDTB	Language	sub-06	0.9398878139303919	0.7875940243702207	0.15229378956017114
MDTB	Language	sub-07	1.1399797401001475	1.043308777732329	0.09667096236781836
MDTB	Language	sub-08	0.855159875280268	0.765016464045122	0.09014341123514602
MDTB	Language	sub-09	0.858282008139026	0.8235997525304569	0.03468225560856908
MDTB	Language	sub-10	0.5973520534636487	0.5501946145387413	0.047157438924907424
MDTB	Language	sub-12	0.8258115952075228	0.7277311683926359	0.09808042681488693
MDTB	Language	sub-13	0.8164163462161931	0.8847878683610094	-0.06837152214481634
MDTB	Language	sub-14	0.8722838680634665	0.8581779906461943	0.014105877417272206
MDTB	Language	sub-15	0.9707501067476073	0.9762439784625921	-0.005493871714984833
MDTB	Language	sub-16	0.7454870924444275	0.7461067987154605	-0.000619706271033027
MDTB	Language	sub-17	1.0892745275067146	0.9431837458121863	0.14609078169452827
MDTB	Language	sub-18	0.7075589193468906	0.661473210410251	0.04608570893663966
MDTB	Language	sub-19	0.7670514185260404	0.8119394807193554	-0.04488806219331498
MDTB	Social	sub-03	0.26264824538469467	0.192935929013523	0.06971231637117167
MDTB	Social	sub-04	0.9826021163562152	1.08404007943625	-0.10143796308003472
MDTB	Social	sub-05	0.4347022796722966	0.36739400263736394	0.06730827703493264
MDTB	Social	sub-07	1.038391351392468	0.9647429619262382	0.07364838946622987
MDTB	Social	sub-08	1.2371927685510304	1.1748175817374924	0.06237518681353804
MDTB	Social	sub-09	0.7564466453346085	0.8123998524389924	-0.055953207104383895
MDTB	Social	sub-10	0.8563750450076711	0.6455809286961224	0.21079411631154876
MDTB	Social	sub-11	0.4669853769722108	0.22041541953538246	0.24656995743682836
MDTB	Social	sub-12	0.4637387616870593	0.41218940439257823	0.05154935729448107
MDTB	Social	sub-13	0.503438249746204	0.4788282456941009	0.024610004052103118
MDTB	Social	sub-14	0.9150021153430856	0.9160613555619758	-0.001059240218890145
MDTB	Social	sub-16	1.0507430485570095	1.1136809822469975	-0.06293793368998801
MDTB	Social	sub-17	0.9502749410890199	0.9462327310787731	0.004042210010246738
MDTB	Social	sub-18	0.30490785998123576	0.3806023343508584	-0.07569447436962262
MDTB	Social	sub-19	0.3987368527748066	0.6229410913533061	-0.22420423857849953
MDTB	Social	sub-20	1.1193404424221305	1.084045782977179	0.03529465944495147
MDTB	Social	sub-21	0.9803100700149043	1.020973990168663	-0.04066392015375864
MDTB	Social	sub-22	0.45049792981146713	0.42673042593518784	0.023767503876279295
MDTB	Social	sub-24	0.13636560103794804	0.19279154869941142	-0.05642594766146339
MDTB	Social	sub-25	1.547486725843573	1.4949871690735608	0.05249955677001217
MDTB	Social	sub-26	0.9220592245405639	0.8520313323451155	0.07002789219544836
MDTB	Social	sub-27	1.3286950736013485	1.397086008117189	-0.06839093451584044
MDTB	WMFS	sub-01	0.8029007472651245	0.7826711653258331	0.020229581939291363
MDTB	WMFS	sub-02	0.29697414686862555	0.1999097657479111	0.09706438112071444
MDTB	WMFS	sub-03	0.7075445881507019	0.6650216490018268	0.04252293914887506
MDTB	WMFS	sub-04	1.0049772345771255	0.9913834294973595	0.013593805079766041
MDTB	WMFS	sub-05	0.9151236974667372	0.8423146163633507	0.07280908110338646
MDTB	WMFS	sub-06	0.9669183770814833	0.9242610774813327	0.04265729960015063
MDTB	WMFS	sub-07	1.1360360115940449	1.1609971458151085	-0.024961134221063608
MDTB	WMFS	sub-08	0.4796681940749679	0.32618674200066683	0.15348145207430108
MDTB	WMFS	sub-09	0.7709849819654879	0.7901101030285758	-0.019125121063087835
MDTB	WMFS	sub-10	1.037952310849323	1.0823888395410561	-0.0444365286917332
MDTB	WMFS	sub-11	1.1735653171051124	1.210361946736744	-0.03679662963163155
MDTB	WMFS	sub-12	0.26474389228479506	0.1447148755707069	0.12002901671408817
MDTB	WMFS	sub-13	0.8869762427568285	0.8737833874536246	0.01319285530320391
MDTB	WMFS	sub-14	0.45877852853961154	0.36729897587316157	0.09147955266644997
MDTB	WMFS	sub-15	1.2886613685645825	1.3776179368239758	-0.08895656825939335
MDTB	WMFS	sub-16	1.040115038112155	1.053313762103212	-0.013198723991056927
MDTB	Demand	sub-01	0.9419197329573545	1.0143516276827123	-0.07243189472535772
MDTB	Demand	sub-02	0.9922291164875224	1.0470371123555076	-0.054807995867985126
MDTB	Demand	sub-05	0.945401923782273	0.9401377352191137	0.0052641885631592444
MDTB	Demand	sub-06	0.8190513879604115	0.8921009532512814	-0.07304956529086981
MDTB	Demand	sub-07	0.8714183013015548	0.8798100589283022	-0.008391757626747376
MDTB	Demand	sub-08	0.7871794299313093	0.7647216670959007	0.022457762835408568
MDTB	Demand	sub-09	0.9651326263177623	1.0023586252967582	-0.03722599897899592
MDTB	Demand	sub-10	0.8445325974419242	0.8826291543515382	-0.038096556909614
MDTB	Demand	sub-11	0.9006171479255993	0.8589159612105718	0.04170118671502754
MDTB	Demand	sub-12	0.8911836416999475	0.8412218552803532	0.049961786419594256
MDTB	Demand	sub-15	0.6388881385024012	0.6148083766024595	0.024079761899941765
MDTB	Demand	sub-16	0.842134041852039	0.7985227283248328	0.04361131352720615
