eval_subj	num_regions	subj_id	mname	R_train	R2_train	logalpha	train_dataset	train_ses	run	cond_num	method	cerebellum	cortex	parcellation	crossed	validate_model	type	add_rest	cortical_cerebellar_act	std_cortex	std_cerebellum	append	eval_dataset	eval_ses	splitby	subj_list	cortical_act	dataset	model	mix_param	R_eval	R2_eval	noise_Y_R	noise_Y_R2	noise_X_R	noise_X_R2	group_noiseceil_Y_upper	group_noiseceil_Y_lower	noiseceiling_Y	noiseceiling_XY	R_eval_adj	task_code	isbest	extension	group_noiseceil_Y	mean_group_noiseceil_Y
sub-14	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.3594799868148128	0.1248615132992735	0.4680738574893974	-0.0638522850212048	0.9579499031175654	0.9158998062351308	0.5021182495622262	0.3984814726561439	0.6841592340160274	0.6696202703277682	0.8722838680634665		True		0.4502998611091851	0.4121135331929094
sub-15	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.4000592563391504	0.1486747902959192	0.5838216557114564	0.1676433114229126	0.9579499031175654	0.9158998062351308	0.4956120870587672	0.3912195625324595	0.7640822309879064	0.7478448358628454	0.9707501067476073		True		0.44341582479561337	0.4121135331929094
sub-16	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.3072253196169821	0.094196721179169	0.4511509026232945	-0.097698194753411	0.9579499031175654	0.9158998062351308	0.4206705415539835	0.3085485185677259	0.6716776776276657	0.6574039575933409	0.7454870924444275		True		0.3646095300608547	0.4121135331929094
sub-17	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.4489047741478291	0.1773389791602622	0.6859347918686497	0.3718695837372996	0.9579499031175654	0.9158998062351308	0.6162335394609715	0.528147272147432	0.8282118037486846	0.8106116008394775	1.0892745275067146		True		0.5721904058042018	0.4121135331929094
sub-18	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.2915946061942039	0.0850240940531783	0.3813839300628587	-0.2372321398742827	0.9579499031175654	0.9158998062351308	0.5093500246847461	0.4065694641077364	0.6175628956331968	0.6044391605896426	0.7075589193468906		True		0.45795974439624126	0.4121135331929094
sub-19	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Language	ses-localizer		all	avg	MDTB	group		0.3161122702293996	0.0994118820006835	0.5184824697861624	0.0369649395723247	0.9579499031175654	0.9158998062351308	0.4959770617029434	0.3916265681342304	0.7200572684072861	0.7047554410572582	0.7670514185260404		True		0.44380181491858695	0.4121135331929094
sub-03	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.0792040110197667	-0.0362275838980139	0.1774548673795412	-0.6450902652409172	0.943452865875267	0.8869057317505338	0.2463044998148956	0.1226302231761898	0.4212539226874228	0.40917026186264266	0.26264824538469467		True		0.18446736149554271	0.3015592619084832
sub-04	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.2963127689580938	0.0876813240464793	0.32877487983839	-0.3424502403232199	0.943452865875267	0.8869057317505338	0.4357409143774031	0.324885031175379	0.573388942898614	0.5569412918893029	0.9826021163562152		True		0.38031297277639103	0.3015592619084832
sub-05	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.1310884986079128	-0.0066159263243796	0.2760980549218226	-0.4478038901563548	0.943452865875267	0.8869057317505338	0.2938413160351823	0.1723988182517698	0.5254503353522791	0.5103778023960098	0.4347022796722966		True		0.23312006714347605	0.3015592619084832
sub-07	1876	group	MDTB_all_Icosahedron1002_L2reg_A6_group	0.9261764392224012	0.8503542780395004	6.0	MDTB	all	all	all	L2reg	MNISymC3	fs32k	Icosahedron1002	half	False	CondHalf	True	avg	parcel	global	False	Social	ses-social		all	avg	MDTB	group		0.3131365294980651	0.0972830269709632	0.3782779308518416	-0.2434441382963168	0.943452865875267	0.8869057317505338	0.4490047187053558	0.3394516746135416	0.6150430317074096	0.5974005339464772	1.038391351392468		True		0.3942281966594487	0.3015592619084832
