train_dataset,subj_id,sc,v_g,v_s,v_m
MDTB,sub-02,0.0030953946279355807,0.036386417070718456,0.08990302838646905,1.0311127754929539
MDTB,sub-03,0.0030953946279355807,0.036386417070718456,0.08990302838646905,0.9788158236662685
MDTB,sub-04,0.0030953946279355807,0.036386417070718456,0.08990302838646905,1.14987743353567
MDTB,sub-06,0.0030953946279355807,0.036386417070718456,0.08990302838646905,0.7572566176169031
MDTB,sub-08,0.0030953946279355807,0.036386417070718456,0.08990302838646905,1.0220059970991036
MDTB,sub-09,0.0030953946279355807,0.036386417070718456,0.08990302838646905,0.9334232471278201
MDTB,sub-10,0.0030953946279355807,0.036386417070718456,0.08990302838646905,0.8459503320609487
MDTB,sub-12,0.0030953946279355807,0.036386417070718456,0.08990302838646905,0.9326543306421973
MDTB,sub-14,0.0030953946279355807,0.036386417070718456,0.08990302838646905,0.9866193714152156
MDTB,sub-15,0.0030953946279355807,0.036386417070718456,0.08990302838646905,1.0256375983355854
MDTB,sub-17,0.0030953946279355807,0.036386417070718456,0.08990302838646905,0.8394493898635236
MDTB,sub-18,0.0030953946279355807,0.036386417070718456,0.08990302838646905,1.1410858461875992
MDTB,sub-19,0.0030953946279355807,0.036386417070718456,0.08990302838646905,0.8938130134324385
MDTB,sub-20,0.0030953946279355807,0.036386417070718456,0.08990302838646905,1.0545947521784251
MDTB,sub-21,0.0030953946279355807,0.036386417070718456,0.08990302838646905,1.1532347716522895
MDTB,sub-22,0.0030953946279355807,0.036386417070718456,0.08990302838646905,0.8244794674885503
MDTB,sub-24,0.0030953946279355807,0.036386417070718456,0.08990302838646905,1.0258340369028083
MDTB,sub-25,0.0030953946279355807,0.036386417070718456,0.08990302838646905,0.994117829725996
MDTB,sub-26,0.0030953946279355807,0.036386417070718456,0.08990302838646905,0.9655701007728754
MDTB,sub-27,0.0030953946279355807,0.036386417070718456,0.08990302838646905,0.9340579293561371
MDTB,sub-28,0.0030953946279355807,0.036386417070718456,0.08990302838646905,1.0374853434865456
MDTB,sub-29,0.0030953946279355807,0.036386417070718456,0.08990302838646905,1.0281282256841633
MDTB,sub-30,0.0030953946279355807,0.036386417070718456,0.08990302838646905,1.0199540181819948
MDTB,sub-31,0.0030953946279355807,0.036386417070718456,0.08990302838646905,1.1399511156845932
Language,sub-01,0.0023204226118340096,0.027938165454573918,0.1297589746151701,1.0494639145403803
Language,sub-02,0.0023204226118340096,0.027938165454573918,0.1297589746151701,0.9301032147307364
